duration,users
0,4
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,4
20,4
21,4
22,4
23,5
24,5
25,5
26,6
27,6
28,6
29,7
30,7
31,8
32,8
33,9
34,9
35,10
36,10
37,11
38,12
39,12
40,13
41,14
42,14
43,15
44,16
45,17
46,17
47,18
48,19
49,20
50,21
51,22
52,23
53,24
54,25
55,26
56,27
57,28
58,29
59,30
60,31
61,32
62,33
63,35
64,36
65,37
66,38
67,40
68,41
69,42
70,44
71,45
72,46
73,48
74,49
75,51
76,52
77,54
78,56
79,57
80,59
81,60
82,62
83,64
84,65
85,67
86,69
87,70
88,72
89,74
90,75
91,77
92,79
93,81
94,82
95,84
96,86
97,88
98,89
99,91
100,93
101,94
102,96
103,98
104,99
105,101
106,102
107,104
108,106
109,107
110,109
111,110
112,112
113,113
114,115
115,116
116,117
117,119
118,120
119,121
120,122
121,124
122,125
123,126
124,127
125,128
126,129
127,131
128,132
129,133
130,134
131,135
132,136
133,137
134,137
135,138
136,139
137,140
138,141
139,142
140,142
141,143
142,144
143,145
144,145
145,146
146,147
147,147
148,148
149,148
150,149
151,149
152,150
153,150
154,151
155,151
156,152
157,152
158,153
159,153
160,154
161,154
162,154
163,155
164,155
165,156
166,156
167,156
168,157
169,157
170,158
171,158
172,159
173,159
174,159
175,160
176,160
177,161
178,162
179,162
180,163
181,163
182,164
183,165
184,165
185,166
186,167
187,168
188,168
189,169
190,170
191,171
192,172
193,173
194,174
195,175
196,176
197,177
198,178
199,179
200,180
201,181
202,183
203,184
204,185
205,186
206,187
207,188
208,189
209,190
210,191
211,192
212,193
213,194
214,195
215,196
216,196
217,197
218,198
219,199
220,199
221,200
222,200
223,201
224,201
225,202
226,202
227,202
228,203
229,203
230,203
231,203
232,203
233,203
234,203
235,203
236,202
237,202
238,202
239,201
240,201
241,201
242,200
243,200
244,199
245,198
246,198
247,197
248,196
249,195
250,195
251,194
252,193
253,192
254,191
255,190
256,189
257,188
258,187
259,186
260,185
261,183
262,182
263,181
264,180
265,179
266,177
267,176
268,175
269,173
270,172
271,171
272,169
273,168
274,166
275,165
276,164
277,162
278,161
279,159
280,158
281,156
282,155
283,153
284,152
285,150
286,149
287,147
288,146
289,144
290,143
291,141
292,140
293,138
294,137
295,135
296,134
297,132
298,131
299,130
300,128
301,127
302,125
303,124
304,123
305,121
306,120
307,119
308,117
309,116
310,115
311,113
312,112
313,111
314,110
315,108
316,107
317,106
318,105
319,104
320,102
321,101
322,100
323,99
324,98
325,97
326,96
327,95
328,93
329,92
330,91
331,90
332,89
333,88
334,87
335,86
336,85
337,84
338,83
339,82
340,82
341,81
342,80
343,79
344,78
345,77
346,76
347,75
348,75
349,74
350,73
351,72
352,71
353,70
354,70
355,69
356,68
357,67
358,67
359,66
360,65
361,65
362,64
363,63
364,63
365,62
366,61
367,61
368,60
369,59
370,59
371,58
372,58
373,57
374,57
375,56
376,55
377,55
378,54
379,54
380,53
381,53
382,52
383,52
384,51
385,51
386,50
387,50
388,50
389,49
390,49
391,48
392,48
393,47
394,47
395,46
396,46
397,45
398,45
399,44
400,44
401,43
402,43
403,42
404,42
405,41
406,41
407,40
408,40
409,39
410,39
411,38
412,37
413,37
414,36
415,35
416,35
417,34
418,33
419,33
420,32
421,31
422,31
423,30
424,29
425,28
426,28
427,27
428,26
429,25
430,25
431,24
432,23
433,23
434,22
435,21
436,20
437,20
438,19
439,18
440,18
441,17
442,16
443,16
444,15
445,14
446,14
447,13
448,13
449,12
450,12
451,11
452,11
453,10
454,10
455,9
456,9
457,9
458,8
459,8
460,7
461,7
462,7
463,7
464,6
465,6
466,6
467,6
468,5
469,5
470,5
471,5
472,5
473,4
474,4
475,4
476,4
477,4
478,4
479,4
480,4
481,4
482,4
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,4
512,5
513,5
514,5
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,5
530,5
531,5
532,5
533,5
534,5
535,5
536,5
537,5
538,5
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,5
547,5
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,4
557,4
558,4
559,4
560,4
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,1
594,1
595,1
596,1
597,1
598,1
599,1
